Lat,lon,elevation,PercentClear,NE,SE,SW,NW
18.24958333,82.95625,1631,98,25,23.5,25,24.9
18.25291667,82.95708333,1611,92,25,23.5,18.1,25
18.67791667,82.95458333,1570,96,25,21.5,24.9,25
18.67791667,82.95458333,1570,96,25,21.5,24.9,25
19.08125,82.90458333,1144,90,25,15.7,24.3,25
19.08291667,82.90625,1154,91,25,16.2,24.4,25
18.67541667,82.98125,1655,99,25,23.5,25,25
18.73791667,82.98208333,1496,95,25,23.1,22.1,25
18.00708333,81.10125,741,98,25,22.8,25,24.8
18.73875,82.98375,1494,95,25,23.1,22,25
18.61875,82.99875,1585,98,25,23.5,24.9,24.1
18.00875,81.10958333,748,98,25,22.8,25,24.8
18.01208333,81.10958333,752,98,25,22.8,25,24.8
18.62125,83.00041667,1560,92,25,23.5,19.4,23.7
18.01791667,81.11625,756,98,25,22.8,25,24.8
18.63458333,83.01708333,1475,91,25,23.5,21.8,21.1
18.99458333,82.94458333,1244,91,25,17.6,23.5,25
18.63458333,83.01708333,1475,91,25,23.5,21.8,21.1
18.76125,83.01875,1469,92,24,21.7,21.4,25
18.76208333,83.01958333,1479,94,25,21.5,22.1,25
18.87791667,82.95458333,1383,93,25,18.9,23.9,25
18.71708333,83.03375,1496,95,25,23.5,21.9,25
18.71708333,83.03375,1496,95,25,23.5,21.9,25
18.76041667,83.04208333,1524,94,25,23.5,23.8,21.4
18.76208333,83.04041667,1535,98,25,23.5,24,25
18.88458333,82.96041667,1361,90,25,18.1,21.5,25
18.88958333,82.96541667,1358,91,25,18.4,22.1,25
18.75291667,83.04708333,1472,90,25,23.5,22.1,19.8
18.76041667,83.04208333,1524,94,25,23.5,23.8,21.4
19.35208333,82.97291667,1097,93,23.6,19.9,24.2,25
17.99791667,81.16208333,674,94,25,21.8,25,21.7
17.99791667,81.16291667,674,94,25,21.8,25,21.8
18.77791667,81.22458333,1153,96,25,23.5,22,25
18.78625,81.22791667,1123,90,25,23.4,16.4,25
18.83375,81.22541667,1035,94,25,23,20.8,25
18.84208333,81.23541667,1010,92,25,23.3,18.7,25
18.85375,81.23375,1019,94,25,23.4,21,25
18.85708333,81.23375,1003,92,25,22.9,19.3,25
18.86791667,81.23375,989,93,25,23,20.3,25
18.87375,81.23291667,977,93,25,22.6,20.2,25
18.88958333,81.23125,921,92,25,21.8,20.5,24.9
18.89125,81.23125,931,93,25,22.3,20.7,24.9
18.68375,81.19375,1212,97,25,21.6,25,25
19.34291667,83.03375,1125,91,20.5,21.8,24.1,25
18.61625,81.19708333,1197,98,24.1,23.5,25,25
19.34291667,83.03375,1125,91,20.5,21.8,24.1,25
18.72208333,81.21125,1202,92,23.9,18.3,25,25
18.93958333,83.04291667,1279,90,25,19.4,20.1,25
18.94125,83.04375,1279,90,25,19.5,20.2,25
18.72375,81.21208333,1200,90,25,15.5,24.8,25
19.34625,83.05625,1211,98,25,23.2,24.4,25
18.61708333,81.22791667,1189,98,24.9,23.5,25,24.3
18.66458333,81.22541667,1266,99,25,23.5,25,25
18.67625,81.22291667,1236,95,25,20.9,23.7,25
18.70041667,81.22291667,1194,94,23.9,22.8,22.7,24.7
18.70291667,81.22375,1186,91,23.4,23,22.1,22.3
18.71875,81.22208333,1225,98,25,23.5,24.5,25
18.72291667,81.22375,1227,98,25,23.5,24.5,25
18.73125,81.22708333,1209,96,25,23.5,22,25
18.77791667,81.22458333,1153,96,25,23.5,22,25
18.78708333,83.06458333,1513,97,25,23.5,23.7,25
19.03875,83.06291667,1267,94,25,22.1,22.2,25
19.03958333,83.06291667,1262,94,25,22.1,22.2,25
17.96541667,81.22958333,714,96,25,21.3,25,24.5
19.34625,83.05875,1194,90,25,23.1,21.9,19.7
18.53875,81.23708333,973,90,23.9,23.5,25,17.9
18.61708333,81.22875,1182,97,24.8,23.5,25,23.8
18.63541667,81.23625,1191,95,25,23.5,25,21.4
18.63958333,81.23625,1187,94,25,23.5,25,20.4
19.07208333,83.07458333,1280,96,25,22.8,22.8,25
19.07291667,83.07458333,1280,96,25,22.8,22.8,25
19.67291667,83.07541667,1037,91,25,16.7,24.2,25
18.53875,81.23791667,975,90,24.1,23.5,25,17.8
19.67458333,83.07541667,1040,91,25,17,24.2,25
18.63875,81.23708333,1182,93,25,23.5,24.8,20.1
18.80375,83.08125,1475,96,25,23.5,22.5,25
17.73625,81.25375,693,96,24.8,21.3,25,24.8
17.73625,81.25375,693,96,24.8,21.3,25,24.8
19.07291667,83.07541667,1276,95,25,22.7,22.7,25
19.07291667,83.07541667,1276,95,25,22.7,22.7,25
19.67041667,83.07791667,1046,91,25,17.1,24.3,25
19.67375,83.07625,1042,91,25,17,24.2,25
17.71875,81.25791667,685,95,24.7,21.1,25,24.2
18.80291667,83.08541667,1476,95,25,23.5,21.9,25
17.73625,81.25458333,702,96,24.9,21.5,25,24.9
